ID,Name,Research output type,Title
1325920,"ALLEN, MYLES R (Myles)",Preprint,Global warming from refrigerant HFCs is underestimated by their CO2 equivalent emissions within the century
1328187,"ALLEN, MYLES R (Myles)",Journal article,A review of commercialisation mechanisms for carbon dioxide removal
1331780,"ALLEN, MYLES R (Myles)",Other,Large-ensemble forecast-based extreme event attribution
1361411,"ALLEN, MYLES R (Myles)",Journal article,Indicators of Global Climate Change 2022: annual update of large-scale indicators of the state of the climate system and human influence
1492514,"ALLEN, MYLES R (Myles)",Journal article,Are single global warming potential impact assessments adequate for carbon footprints of agri-food systems?
1518060,"ALLEN, MYLES R (Myles)",Journal article,Physically based equation representing the forcing-driven precipitation in climate models
1569559,"ALLEN, MYLES R (Myles)",Journal article,Comment on ‘Attribution of modern Andean glacier mass loss requires successful hindcast of pre-industrial glacier changes’ by Sebastian Lüning et al.
1586331,"ALLEN, MYLES R (Myles)",Journal article,Uncertainties in mitigating aviation non-CO 2 emissions for climate and air quality using hydrocarbon fuels
1620930,"ALLEN, MYLES R (Myles)",Preprint,FaIRv2.0.0: a generalised impulse-response model for climate uncertainty and future scenario exploration
1620932,"ALLEN, MYLES R (Myles)",Preprint,A modified impulse-response representation of the global response to carbon dioxide emissions
1620935,"ALLEN, MYLES R (Myles)",Preprint,Millennial temperature reconstruction intercomparison and evaluation
1628137,"ALLEN, MYLES R (Myles)",Preprint,FAIR v1.1: A simple emissions-based impulse response and carbon cycle model
1666537,"ALLEN, MYLES R (Myles)",Journal article,Carbon storage units and carbon storage obligations: A review of policy approaches
1775066,"ALLEN, MYLES R (Myles)",Preprint,"AERA-MIP: Emission pathways, remaining budgets and carbon cycle dynamics compatible with 1.5 ºC and 2 ºC global warming stabilization"
1804774,"ALLEN, MYLES R (Myles)",Preprint,Prosets: making continued use of fossil fuels compatible with a credible transition to net zero
1804779,"ALLEN, MYLES R (Myles)",Preprint,"FAMOUS, faster: using parallel computing techniques to accelerate the FAMOUS/HadCM3 climate model with a focus on the radiative transfer algorithm"
1805762,"ALLEN, MYLES R (Myles)",Other,Towards an operational forecast-based attribution system - beyond isolated events
1886480,"ALLEN, MYLES R (Myles)",Journal article,Accelerating carbon neutrality in China: Sensitive intervention points for the energy and transport sectors in Beijing and Hong Kong
1988901,"ALLEN, MYLES R (Myles)",Report,What do we need to know to safely store CO2 beneath our shelf seas? Stakeholder workshop report
1989000,"ALLEN, MYLES R (Myles)",Journal article,Regulating net zero: from groundswell to ground rules
1991322,"ALLEN, MYLES R (Myles)",Preprint,"fair-calibrate v1.4.1: calibration, constraining and validation of the FaIR simple climate model for reliable future climate projections"
1991801,"ALLEN, MYLES R (Myles)",Journal article,Towards forecast-based attribution of isolated extreme events: perturbed initial condition simulations of the Pacific Northwest heatwave
1991804,"ALLEN, MYLES R (Myles)",Journal article,Forecast-based attribution of a winter heatwave within the limit of predictability
1991886,"ALLEN, MYLES R (Myles)",Journal article,Methane source-sink behaviour in upland trees spanning a global climate gradient
1992692,"ALLEN, MYLES R (Myles)",Journal article,Heatwave attribution based on reliable operational weather forecasts
2001626,"ALLEN, MYLES R (Myles)",Journal article,Economics of enhanced methane oxidation relative to carbon dioxide removal
2004332,"ALLEN, MYLES R (Myles)",Journal article,Heatwave attribution based on reliable operational weather forecasts
2007942,"ALLEN, MYLES R (Myles)",Journal article,Indicators of Global Climate Change 2023: annual update of key indicators of the state of the climate system and human influence
2011394,"ALLEN, MYLES R (Myles)",Journal article,The attribution of February extremes over North America: a forecast-based storyline study
2018321,"ALLEN, MYLES R (Myles)",Report,Filling in the evidence gaps for the safe deployment of offshore geological carbon storage
2018621,"ALLEN, MYLES R (Myles)",Journal article,Global atmospheric methane uptake by upland tree woody surfaces
2067057,"ALLEN, MYLES R (Myles)",Journal article,Geological Net Zero and the need for disaggregated accounting for carbon sinks.
2069925,"ALLEN, MYLES R (Myles)",Journal article,"fair-calibrate v1.4.1: calibration, constraining, and validation of the FaIR simple climate model for reliable future climate projections"
2073721,"ALLEN, MYLES R (Myles)",Journal article,"AERA-MIP: emission pathways, remaining budgets, and carbon cycle dynamics compatible with 1.5 and 2 °C global warming stabilization"
2077055,"ALLEN, MYLES R (Myles)",Preprint,Carbon Storage Units and Carbon Storage Obligations: A Review of Policy Approaches
2077056,"ALLEN, MYLES R (Myles)",Preprint,Further improvement of warming-equivalent emissions calculation
2077057,"ALLEN, MYLES R (Myles)",Journal article,Europe's 'green deal' and carbon dioxide removal.
2077059,"ALLEN, MYLES R (Myles)",Preprint,Sustainable financing of permanent CO2 disposal through a Carbon Takeback Obligation
2077060,"ALLEN, MYLES R (Myles)",Preprint,Comment on ‘Unintentional unfairness when applying new greenhouse gas emissions metrics at country level’
2101044,"ALLEN, MYLES R (Myles)",Journal article,Quantifying CO2 and Non‐CO2 Contributions to Climate Change Under 1.5°C and 2°C Adaptive Emission Scenarios
1115966,"RICKABY, ROSALIND EM (Ros)",Journal article,Evolution of mutation rate in astronomically large phytoplankton populations 
1146042,"RICKABY, ROSALIND EM (Ros)",Journal article,Biophysical analysis of the structural evolution of substrate specificity in RuBisCO
1148635,"RICKABY, ROSALIND EM (Ros)",Journal article,A new method for isolating and analysing coccospheres within sediment
1162370,"RICKABY, ROSALIND EM (Ros)",Journal article,Geological Society of London Scientific Statement: what the geological record tells us about our present and future climate
1169792,"RICKABY, ROSALIND EM (Ros)",Journal article,Marine ammonia-oxidising archaea and bacteria occupy distinct iron and copper niches
1170914,"RICKABY, ROSALIND EM (Ros)",Journal article,The influence of elevated SiO2(aq) on intracellular silica uptake and microbial metabolism
1173849,"RICKABY, ROSALIND EM (Ros)",Journal article,Proteomic response of the marine ammonia-oxidising archaeon Nitrosopumilus maritimus to iron limitation reveals strategies to compensate for nutrient scarcity
1187628,"RICKABY, ROSALIND EM (Ros)",Journal article,Opto‐electrochemical dissolution reveals coccolith calcium carbonate content
1187649,"RICKABY, ROSALIND EM (Ros)",Journal article,Opto-Electrochemical Dissolution Reveals Coccolith Calcium Carbonate Content.
1191657,"RICKABY, ROSALIND EM (Ros)",Journal article,Proxies for paleo-oxygenation: A downcore comparison between benthic foraminiferal surface porosity and I/Ca
1191658,"RICKABY, ROSALIND EM (Ros)",Journal article,Carbon export buffering and CO2 drawdown by flexible phytoplankton C:N:P under glacial conditions
1198928,"RICKABY, ROSALIND EM (Ros)",Journal article,The mode of speciation during a recent radiation in open ocean phytoplankton
1225054,"RICKABY, ROSALIND EM (Ros)",Journal article,Earth’s eccentric orbit paced the evolution of marine phytoplankton
1226785,"RICKABY, ROSALIND EM (Ros)",Journal article,The meaning of net zero and how to get it right
1239738,"RICKABY, ROSALIND EM (Ros)",Journal article,Deuterium in marine organic biomarkers: toward a new tool for quantifying aquatic mixotrophy
1247097,"RICKABY, ROSALIND EM (Ros)",Journal article,Single-entity coccolithophore electrochemistry shows size is no guide to the degree of calcification
1251299,"RICKABY, ROSALIND EM (Ros)",Journal article,Rapid opto-electrochemical differentiation of marine phytoplankton
1264217,"RICKABY, ROSALIND EM (Ros)",Journal article,"Calcification, dissolution and test properties of modern planktonic foraminifera from the Central Atlantic Ocean
"
1274377,"RICKABY, ROSALIND EM (Ros)",Journal article,Plant Cysteine Oxidase Oxygen-Sensing Function Is Conserved in Early Land Plants and Algae.
1274832,"RICKABY, ROSALIND EM (Ros)",Journal article,The ikaite to calcite transformation: implications for palaeoclimate studies
1275296,"RICKABY, ROSALIND EM (Ros)",Journal article,Planktonic foraminifera organic carbon isotopes as archives of upper ocean carbon cycling.
1277194,"RICKABY, ROSALIND EM (Ros)",Journal article,Calcium carbonate dissolution from the laboratory to the ocean: kinetics and mechanism
1279397,"RICKABY, ROSALIND EM (Ros)",Journal article,Eocene emergence of highly calcifying coccolithophores despite declining atmospheric CO2
1279404,"RICKABY, ROSALIND EM (Ros)",Journal article,Quantifying the extent of calcification of a coccolithophore using a coulter counter
1279533,"RICKABY, ROSALIND EM (Ros)",Journal article,Plant cysteine oxidase oxygen-sensing function is conserved in early land plants and algae
1302824,"RICKABY, ROSALIND EM (Ros)",Journal article,Plant cysteine oxidase oxygen-sensing function is conserved in early land plants and algae
1303172,"RICKABY, ROSALIND EM (Ros)",Journal article,Declining metal availability in the Mesozoic seawater reflected in phytoplankton succession
1315341,"RICKABY, ROSALIND EM (Ros)",Journal article,Does the life cycle stage matter for distinguishing phytoplankton via fluoro-electrochemical microscopy?
1327735,"RICKABY, ROSALIND EM (Ros)",Journal article,Rapid diversification underlying the global dominance of a cosmopolitan phytoplankton
1331765,"RICKABY, ROSALIND EM (Ros)",Journal article,A simple microscopy approach quantifies biomineralized CO2 in Coccolithus braarudii – a calcifying marine phytoplankton
1334616,"RICKABY, ROSALIND EM (Ros)",Journal article,Earth’s eccentric orbit paced the evolution of marine phytoplankton
1344281,"RICKABY, ROSALIND EM (Ros)",Journal article,AI facilitated fluoro-electrochemical phytoplankton classification
1357293,"RICKABY, ROSALIND EM (Ros)",Journal article,The cellular response to ocean warming in Emiliania huxleyi
1482048,"RICKABY, ROSALIND EM (Ros)",Conference paper,Calcification of the Gephyrocapsa complex during the Mid- Brunhes Event
1482064,"RICKABY, ROSALIND EM (Ros)",Conference paper,How do new phytoplankton species form in the open ocean?
1493243,"RICKABY, ROSALIND EM (Ros)",Journal article,Calcifying coccolithophore: an evolutionary advantage against extracellular oxidative damage
1511827,"RICKABY, ROSALIND EM (Ros)",Journal article,Commentary: Planktic foraminifera iodine/calcium ratios from plankton tows
1514254,"RICKABY, ROSALIND EM (Ros)",Journal article,A novel fluoro-electrochemical technique for classifying diverse marine nanophytoplankton
1547504,"RICKABY, ROSALIND EM (Ros)",Journal article,Shotgun proteomics reveals temperature-dependent regulation of major nutrient metabolism in coastal Synechococcus sp. WH5701
1565689,"RICKABY, ROSALIND EM (Ros)",Journal article,Globally enhanced calcification across the coccolithophore Gephyrocapsa complex during the mid-Brunhes interval
1566518,"RICKABY, ROSALIND EM (Ros)",Journal article,"Taxonomic and nomenclatural notes on the coccolithophore Gephyrocapsa huxleyi (Noelaerhabdaceae, Haptophyta) and related species"
1569324,"RICKABY, ROSALIND EM (Ros)",Journal article,Stimulating and toxic effect of chromium on growth and photosynthesis of a marine chlorophyte.
1650325,"RICKABY, ROSALIND EM (Ros)",Journal article,Laboratory experiments in ocean alkalinity enhancement research
1650326,"RICKABY, ROSALIND EM (Ros)",Preprint,Laboratory experiments in ocean alkalinity enhancement research
1659899,"RICKABY, ROSALIND EM (Ros)",Preprint,Isotopic evidence for nickel limitation of biological productivity in the ocean
1687965,"RICKABY, ROSALIND EM (Ros)",Preprint,A synthesis of marine sediment core δ13C data over the last 150 000 years
1691596,"RICKABY, ROSALIND EM (Ros)",Journal article,Alterations in metalloprotein abundance under ocean warming in the marine green alga Micromonas pusilla using the mebipred predictive tool
1723622,"RICKABY, ROSALIND EM (Ros)",Journal article,"Climate targets, carbon dioxide removal, and the potential role of ocean alkalinity enhancement"
1723623,"RICKABY, ROSALIND EM (Ros)",Journal article,Natural analogs to ocean alkalinity enhancement
1723624,"RICKABY, ROSALIND EM (Ros)",Journal article,Frontispiece: Calcium Carbonate Dissolution from the Laboratory to the Ocean: Kinetics and Mechanism
1723625,"RICKABY, ROSALIND EM (Ros)",Preprint,Genotyping an Emiliania huxleyi (Prymnesiophyceae) bloom event in the North Sea reveals evidence of asexual reproduction
1723626,"RICKABY, ROSALIND EM (Ros)",Preprint,A multi-species coccolith volume response to an anthropogenically-modified ocean
1723627,"RICKABY, ROSALIND EM (Ros)",Preprint,Perturbing phytoplankton: a tale of isotopic fractionation in two coccolithophore species
1723628,"RICKABY, ROSALIND EM (Ros)",Preprint,Vanishing coccolith vital effects with alleviated CO2 limitation
1723630,"RICKABY, ROSALIND EM (Ros)",Preprint,Algal constraints on the Cenozoic history of atmospheric CO2?
1740075,"RICKABY, ROSALIND EM (Ros)",Preprint,Exploring global patterns of trace metal limitation as a regulator of the distribution of dominant marine phytoplankton groups
1740077,"RICKABY, ROSALIND EM (Ros)",Preprint,A novel fluoro-electrochemical technique for classifying diverse marine nanophytoplankton
1767149,"RICKABY, ROSALIND EM (Ros)",Conference paper,Organic carbon isotopes of planktic foraminifera
1768897,"RICKABY, ROSALIND EM (Ros)",Preprint,Globally enhanced calcification across the coccolithophore Gephyrocapsa complex during the Mid-Brunhes interval
1768898,"RICKABY, ROSALIND EM (Ros)",Preprint,Globally enhanced calcification across the coccolithophore Gephyrocapsa complex during the Mid-Brunhes interval
1987158,"RICKABY, ROSALIND EM (Ros)",Journal article,Phanerozoic co-evolution of O 2 -CO 2 and ocean habitability
1988901,"RICKABY, ROSALIND EM (Ros)",Report,What do we need to know to safely store CO2 beneath our shelf seas? Stakeholder workshop report
1989496,"RICKABY, ROSALIND EM (Ros)",Journal article,Size-dependent dynamics of the internal carbon pool drive isotopic vital effects in calcifying phytoplankton
1996181,"RICKABY, ROSALIND EM (Ros)",Journal article,"Examining surface water conditions over the past 250,000 years off the coast of Namibia: exploring the diverse impacts of Agulhas Leakage and Benguela Upwelling"
2010267,"RICKABY, ROSALIND EM (Ros)",Journal article,Light quality induces a shift in coccosphere morphology in Scyphosphaera apsteinii
2010643,"RICKABY, ROSALIND EM (Ros)",Other,"Investigating the ""mixoplankton"" paradigm using hydrogen isotope ratios"
2032252,"RICKABY, ROSALIND EM (Ros)",Journal article,Stable carbon isotope ratios of pristine carbohydrates preserved within nannofossil calcite
2042667,"RICKABY, ROSALIND EM (Ros)",Journal article,Contrasting species-specific stress response to environmental pH determines the fate of coccolithophores in future oceans.
2046066,"RICKABY, ROSALIND EM (Ros)",Journal article,Fluoro-Electrochemistry Based Phytoplankton Bloom Detection and Enumeration; Field Validation of a New Sensor for Ocean Monitoring
2072790,"RICKABY, ROSALIND EM (Ros)",Journal article,"Differential impacts of pH on growth, physiology, and elemental stoichiometry across three coccolithophore species"
2073898,"RICKABY, ROSALIND EM (Ros)",Journal article,Exploring proteins within the coccolith matrix
2078116,"RICKABY, ROSALIND EM (Ros)",Chapter,Geochemical tracers of biomineralisation processes
2078117,"RICKABY, ROSALIND EM (Ros)",Conference paper,Evaluation of the isotopic composition of carbon in the calcite produced by phytoplankton (coccolith δ 13 C vital effects) in the modern ocean
2078118,"RICKABY, ROSALIND EM (Ros)",Conference paper,Peaking at the past controls on the production of pelagic carbonate - N. Shackleton Science Innovation Medal Lecture
2078119,"RICKABY, ROSALIND EM (Ros)",Preprint,"Climate targets, carbon dioxide removal and the potential role of Ocean Alkalinity Enhancement"
2078120,"RICKABY, ROSALIND EM (Ros)",Preprint,Natural Analogs to Ocean Alkalinity Enhancement
2078121,"RICKABY, ROSALIND EM (Ros)",Journal article,Evaluation of the effect of calcification intensity on the isotopical composition of coccolith calcite
2078122,"RICKABY, ROSALIND EM (Ros)",Conference paper,Ni isotope fractionation during marine phytoplankton uptake: Implications for a limited and fractionated bioavailable Ni pool in the modern ocean
2078123,"RICKABY, ROSALIND EM (Ros)",Conference paper,Environmental Adaptation of calcification from coccolith associated polysaccharides
2078124,"RICKABY, ROSALIND EM (Ros)",Conference paper,Coccolithophore response to seawater Mg/Ca ratio
2078125,"RICKABY, ROSALIND EM (Ros)",Journal article,The ikaite to calcite transformation: A key to understanding the palaeoclimatic significance of glendonites?
2078126,"RICKABY, ROSALIND EM (Ros)",Journal article,Assessing the response of coccolithophores and foraminifera to enhanced ocean alkalinity as a CO2 sequestration technique
2078127,"RICKABY, ROSALIND EM (Ros)",Book,Earth History of Oxygen and the iprOxy
2085678,"RICKABY, ROSALIND EM (Ros)",Journal article,Geochemical tracers of biomineralisation processes
2118136,"RICKABY, ROSALIND EM (Ros)",Journal article,Geochemical Proxy Systems in Marine CaCO3 Biominerals Record Both Environmental Changes and Biomineralisation Processes
1125787,"SEDDON, NATHALIE (Nathalie)",Journal article,Mapping the effectiveness of nature‐based solutions for climate change adaptation
1159805,"SEDDON, NATHALIE (Nathalie)",Journal article,Getting the message right on nature‐based solutions to climate change
1176628,"SEDDON, NATHALIE (Nathalie)",Journal article,Nature-based solutions can help cool the planet — if we act now
1188390,"SEDDON, NATHALIE (Nathalie)",Journal article,Time to integrate global climate change and biodiversity science-policy agendas
1194018,"SEDDON, NATHALIE (Nathalie)",Journal article,"Evaluating artisanal fishing of globally threatened sharks and rays in the Bay of Bengal, Bangladesh"
1204487,"SEDDON, NATHALIE (Nathalie)",Journal article,Nature-based solutions in Bangladesh: evidence of effectiveness for addressing climate change and other sustainable development goals
1226785,"SEDDON, NATHALIE (Nathalie)",Journal article,The meaning of net zero and how to get it right
1241822,"SEDDON, NATHALIE (Nathalie)",Journal article,"AVONET: morphological, ecological and geographical data for all birds"
1266396,"SEDDON, NATHALIE (Nathalie)",Journal article,Harnessing the potential of nature-based solutions for mitigating and adapting to climate change
1277965,"SEDDON, NATHALIE (Nathalie)",Journal article,Biodiversity outcomes of nature-based solutions for climate change adaptation: characterising the evidence base
1278709,"SEDDON, NATHALIE (Nathalie)",Journal article,The role of nature-based solutions in supporting social-ecological resilience for climate change adaptation 
1286329,"SEDDON, NATHALIE (Nathalie)",Journal article,Contributions of nature-based solutions to reducing people’s vulnerabilities to climate change across the rural Global South
1563821,"SEDDON, NATHALIE (Nathalie)",Journal article,Nature-based solutions are critical for putting Brazil on track towards net-zero emissions by 2050.
1615011,"SEDDON, NATHALIE (Nathalie)",Journal article,Going beyond market-based mechanisms to finance nature-based solutions and foster sustainable futures
1632920,"SEDDON, NATHALIE (Nathalie)",Preprint,Nature-Based Solutions Are Critical for Putting Brazil on Track towards Net Zero
1634680,"SEDDON, NATHALIE (Nathalie)",Preprint,Range-wide spatial mapping reveals convergent character displacement of bird song
1712531,"SEDDON, NATHALIE (Nathalie)",Journal article,"Cover Image: Volume 25 Number 3, March 2022"
1743451,"SEDDON, NATHALIE (Nathalie)",Preprint,Can nature-based solutions support economic recovery? A review of reviews on the economic outcomes of NbS
1743452,"SEDDON, NATHALIE (Nathalie)",Preprint,Contributions of Nature-Based Solutions to Reducing People’s Vulnerabilities to Climate Change across the Rural Global South
1743453,"SEDDON, NATHALIE (Nathalie)",Preprint,Contributions of Nature-Based Solutions to Reduce Peoples’ Vulnerabilities to Climate Change across the Rural Global South
1743454,"SEDDON, NATHALIE (Nathalie)",Preprint,Can Nature-Based Solutions Deliver a Win-Win for Biodiversity and Climate Change Adaptation?
1743456,"SEDDON, NATHALIE (Nathalie)",Preprint,Why Nature-Based Solutions to Climate Change Must Be Grounded in Sound Biodiversity Science
2021751,"SEDDON, NATHALIE (Nathalie)",Chapter,"MESITORNITHIDAE, MESITES"
2052417,"SEDDON, NATHALIE (Nathalie)",Journal article,Harnessing nature-based solutions for economic recovery: A systematic review
2064007,"SEDDON, NATHALIE (Nathalie)",Preprint,An integrated approach to above- and below-ground ecological monitoring for nature-based solutions
2074694,"SEDDON, NATHALIE (Nathalie)",Preprint,Harnessing nature-based solutions for economic recovery: a systematic review
2078144,"SEDDON, NATHALIE (Nathalie)",Preprint,Global Recognition of the Importance of Nature-Based Solutions to Climate Change Impacts
2078145,"SEDDON, NATHALIE (Nathalie)",Preprint,Global Recognition that Ecosystems Are Key to Human Resilience in a Warming World
2093710,"SEDDON, NATHALIE (Nathalie)",Journal article,An integrated approach to above- and below-ground ecological monitoring for nature-based solutions
1133441,"LEZAUN, JAVIER (Javier)",Journal article,"Setting the standard: multidisciplinary hallmarks for structural, equitable and tracked antibiotic policy."
1147071,"LEZAUN, JAVIER (Javier)",Journal article,Incentivising bioenergy with carbon capture and storage (BECCS) responsibly: Comparing stakeholder policy preferences in the United Kingdom and Sweden
1164236,"LEZAUN, JAVIER (Javier)",Journal article,The changing climates of global health
1166131,"LEZAUN, JAVIER (Javier)",Journal article,Addressing key gaps in implementation of mosquito larviciding to accelerate malaria vector control in southern Tanzania: results of a stakeholder engagement process in local district councils.
1168264,"LEZAUN, JAVIER (Javier)",Journal article,Hybrid mosquitoes? Evidence from rural Tanzania on how local communities conceptualize and respond to modified mosquitoes as a tool for malaria control.
1173082,"LEZAUN, JAVIER (Javier)",Journal article,Malaria in Venezuela: Gabaldón's legacy scattered to the winds.
1176129,"LEZAUN, JAVIER (Javier)",Journal article,Imperfect diagnosis: The truncated legacies of Zika testing
1182094,"LEZAUN, JAVIER (Javier)",Journal article,Correction to: Addressing key gaps in implementation of mosquito larviciding to accelerate malaria vector control in southern Tanzania: results of a stakeholder engagement process in local district councils.
1183497,"LEZAUN, JAVIER (Javier)",Journal article,Correction to: Hybrid mosquitoes? Evidence from rural Tanzania on how local communities conceptualize and respond to modified mosquitoes as a tool for malaria control.
1206310,"LEZAUN, JAVIER (Javier)",Journal article,Lessons of the Israeli-Palestinian conflict for public health: The case of the COVID-19 vaccination gap
1219140,"LEZAUN, JAVIER (Javier)",Journal article,"THE IMMUNE HOME: Domestic Enclaves, Diffuse Protections"
1226785,"LEZAUN, JAVIER (Javier)",Journal article,The meaning of net zero and how to get it right
1239132,"LEZAUN, JAVIER (Javier)",Journal article,Governing Carbon Dioxide Removal in the UK: Lessons Learned and Challenges Ahead
1240610,"LEZAUN, JAVIER (Javier)",Journal article,Hugging the Shore: Tackling Marine Carbon Dioxide Removal as a Local Governance Problem
1248133,"LEZAUN, JAVIER (Javier)",Journal article,"Global health, accelerated: Rapid diagnostics and the fragile solidarities of ‘emergency R&D’"
1334039,"LEZAUN, JAVIER (Javier)",Journal article,The needs and opportunities for housing improvement for malaria control in southern Tanzania.
1339341,"LEZAUN, JAVIER (Javier)",Journal article,Can ‘Net Zero’ still be an instrument of climate justice?
1375642,"LEZAUN, JAVIER (Javier)",Journal article,Broaden Research on Ocean Alkalinity Enhancement to Better Characterize Social Impacts.
1608547,"LEZAUN, JAVIER (Javier)",Journal article,Publics and counter-publics of net-zero
1611471,"LEZAUN, JAVIER (Javier)",Journal article,Responsible innovation in CDR: designing sustainable national Greenhouse Gas Removal policies in a fragmented and polycentric governance system
1800292,"LEZAUN, JAVIER (Javier)",Journal article,Grappling with a sea change: tensions in expert imaginaries of marine carbon dioxide removal
2038531,"LEZAUN, JAVIER (Javier)",Journal article,Empowering rural communities for effective larval source management: A small-scale field evaluation of a community-led larviciding approach to control malaria in south-eastern Tanzania.
2124042,"LEZAUN, JAVIER (Javier)",Journal article,The Immune Home (book chapter)
387699,"FARMER, James D (DOYNE)",Scholarly edition,"The virtues and vices of equilibrium and the future of financial
  economics"
387705,"FARMER, James D (DOYNE)",Scholarly edition,"Demand Storage, Market Liquidity, and Price Volatility"
994655,"FARMER, James D (DOYNE)",Working paper,Towards a taxonomy of learning dynamics in 2 × 2 games
1033630,"FARMER, James D (DOYNE)",Journal article,Scenario-free analysis of financial stability with interacting contagion channels
1112685,"FARMER, James D (DOYNE)",Journal article,The intrafirm complexity of systemically important financial institutions
1135531,"FARMER, James D (DOYNE)",Journal article,Supply and demand shocks in the COVID-19 pandemic: an industry and occupation perspective
1149702,"FARMER, James D (DOYNE)",Journal article,Occupational mobility and automation: a data-driven network model
1152054,"FARMER, James D (DOYNE)",Working paper,How market ecology explains market malfunction.
1159950,"FARMER, James D (DOYNE)",Journal article,A simulation of the insurance industry: the problem of risk model homogeneity
1169373,"FARMER, James D (DOYNE)",Journal article,How market ecology explains market malfunction
1178277,"FARMER, James D (DOYNE)",Journal article,Emergent inequality and business cycles in a simple behavioral macroeconomic model
1189337,"FARMER, James D (DOYNE)",Journal article,"Simultaneous supply and demand constraints in input-output networks: the case of Covid-19 in Germany, Italy, and Spain"
1195348,"FARMER, James D (DOYNE)",Chapter,Stress Testing the Financial Macrocosm
1195348,"FARMER, James D (DOYNE)",Chapter,Stress Testing the Financial Macrocosm
1195349,"FARMER, James D (DOYNE)",Fileset,Online Appendix: Systemic Implications of the Bail-In Design
1195350,"FARMER, James D (DOYNE)",Working paper,Systemic Implications of the Bail-In Design
1199815,"FARMER, James D (DOYNE)",Working paper,Production Network and GDP Growth: A Decomposition Approach
1214527,"FARMER, James D (DOYNE)",Journal article,Towards a taxonomy of learning dynamics in 2 × 2 games
1225128,"FARMER, James D (DOYNE)",Journal article,How production networks amplify economic growth
1238827,"FARMER, James D (DOYNE)",Journal article,Can stimulating demand drive costs down? World War II as a natural experiment
1251320,"FARMER, James D (DOYNE)",Journal article,Estimating initial conditions for dynamical systems with incomplete information
